date,inflationrate,feerevenue,totalsupply,circulatingsupply,riskreward,stakedtokens,realrewardrate,marketcap,price
2024-01-07,20.54321162294703,2323227.4747805013,1074510412.4531884,308702699.900928,0.0045752254637069,906005232.3320976,-11.710207522960214,2596189706.166805,8.41
2024-01-08,20.5331887408699,2350669.198134514,1074680922.5341513,308873209.585889,0.0045973374095522,906063380.2619668,-11.70286582572434,2714995512.259964,8.79
2024-01-09,20.56161396892581,2166464.389391503,1074851349.371629,309043635.327812,0.0045359124752031,907818320.9519,-11.713438252880104,2546519555.101171,8.24
2024-01-10,20.57579977663867,2381244.801518155,1075022155.1615589,309214405.495083,0.0046493444355226,908946625.1903569,-11.723825214367356,2761284641.0710907,8.93
2024-01-11,20.81714113283998,2537694.571902606,1075193570.938714,309385639.642734,0.0045903800275136,920117257.5248123,-11.90016353476847,2929882007.416692,9.47
2024-01-12,20.806109414818355,2488444.583723208,1075366830.385186,309558879.140608,0.0046505342256024,920144599.4698644,-11.886019376228472,2792221089.848284,9.02
2024-01-13,19.02856539215075,2762936.5980957164,1075538781.065231,334573390.251518,0.0047071165289112,909534929.3031168,-10.570146341421973,3349079636.417695,10.01
2024-01-14,19.026607176576658,2742008.333844264,1075710169.8836567,334744777.636114,0.0047647503780137,909907196.9443228,-10.568675049108611,3250371790.846668,9.71
2024-01-15,19.022618399856803,2654547.3875400345,1075881568.709649,334930486.490306,0.0047218865632949,910221132.3125844,-10.565677958372545,3181839621.657907,9.5
2024-01-16,19.024573995290403,2638743.6850946,1076053127.9207551,335102045.796813,0.0047655062846655,910780991.1019708,-10.567147380576058,3149959230.490042,9.4
2024-01-17,19.03079175737081,2610368.836610737,1076224769.1975946,335259364.199573,0.0047205140256186,911506378.5492148,-10.554486868388713,3124617274.34002,9.32
2024-01-18,19.03153396608962,2566265.7110887105,1076324938.940973,335373859.317607,0.0047349035370434,911853230.240248,-10.555044596559505,2927813791.842709,8.73
2024-01-19,19.03153396608962,2566265.7110887105,1076324938.940973,335373859.317607,0.0047349035370434,911853230.240248,-10.555044596559505,2867446497.16554,8.55
2024-01-20,19.03153396608962,2566265.7110887105,1076324938.940973,335373859.317607,0.0047349035370434,911853230.240248,-10.555044596559505,2860739019.9791875,8.53
2024-01-21,19.03153396608962,2566265.7110887105,1076324938.940973,335373859.317607,0.0047349035370434,911853230.240248,-10.555044596559505,2833909111.233779,8.45
2024-01-22,19.03153396608962,2566265.7110887105,1076324938.940973,335373859.317607,0.0047349035370434,911853230.240248,-10.555044596559505,2693052090.320384,8.03
2024-01-23,19.03153396608962,2566265.7110887105,1076324938.940973,335373859.317607,0.0047349035370434,911853230.240248,-10.555044596559505,2924460053.249533,8.72
2024-01-24,18.882185855369045,1743753.634622515,1077428511.6508586,336463149.079179,0.003515334628774,907635996.1695092,-10.442677592143534,2883489187.608564,8.57
2024-01-25,18.877384249644624,1627846.94959718,1077599302.606232,336633938.221488,0.0032970718211012,907865790.8661168,-10.44655426860357,2807527044.76721,8.34
2024-01-26,18.872354297550743,1643071.1518604455,1077784577.345312,336819208.87785,0.0032161916934893,908123408.5572984,-10.442764913672963,2930327117.2372947,8.7
2024-01-27,19.07856707962465,1708509.3483162578,1077956440.584863,336990909.674238,0.0031033594907944,918514205.2882549,-10.597854507500958,3073357096.2290506,9.12
2024-01-28,19.073576796520545,1614725.4374622756,1078129437.571019,337163900.77974,0.0030782213981351,918745341.5052524,-10.594107731531643,2997387077.9318886,8.89
2024-01-29,19.079157589089338,1642905.6224981963,1078302444.5469975,337336913.440357,0.0030069649741446,919485743.7935802,-10.598297849678929,3116993080.188899,9.24
2024-01-30,19.07945310108237,1634142.726226999,1078475607.0354807,337510062.439847,0.0029572022804378,919971948.3474014,-10.598519712263066,3051090964.4562163,9.04
